RegionName,State,Metro,2020-01
West Monroe,LA,Monroe,167505
Marrero,LA,New Orleans-Metairie,155070
South Hill,WA,Seattle-Tacoma-Bellevue,382803
Cuyahoga Falls,OH,Akron,140240
Garner,NC,Raleigh,236371
Plainfield,NJ,New York-Newark-Jersey City,290617
Hutchinson,KS,Hutchinson,100004
Cookeville,TN,Cookeville,179914
Apple Valley,MN,Minneapolis-St. Paul-Bloomington,308238
Frankfort,KY,Frankfort,152670
Bentonville,AR,Fayetteville-Springdale-Rogers,255734
Salina,KS,Salina,127536
Belleville,IL,St. Louis,90308
Olive Branch,MS,Memphis,224770
East Hartford,CT,Hartford-West Hartford-East Hartford,170852
Sheboygan,WI,Sheboygan,133665
Wahiawa,HI,Urban Honolulu,652206
Commerce City,CO,Denver-Aurora-Lakewood,378658
Plymouth,MA,Boston-Cambridge-Newton,385804
Kailua,HI,Urban Honolulu,1065955
North Bethesda,MD,Washington-Arlington-Alexandria,736902
Sierra Vista,AZ,Sierra Vista-Douglas,196766
Urbana,IL,Champaign-Urbana,133964
Grapevine,TX,Dallas-Fort Worth-Arlington,370837
Fallbrook,CA,San Diego-Carlsbad,594159
Edina,MN,Minneapolis-St. Paul-Bloomington,591934
Coral Gables,FL,Miami-Fort Lauderdale-West Palm Beach,997690
Cathedral City,CA,Riverside-San Bernardino-Ontario,336650
Troy,NY,Albany-Schenectady-Troy,152816
Waxahachie,TX,Dallas-Fort Worth-Arlington,235082
Palm Springs,CA,Riverside-San Bernardino-Ontario,603771
Perth Amboy,NJ,New York-Newark-Jersey City,302671
Little Elm,TX,Dallas-Fort Worth-Arlington,279237
La Mirada,CA,Los Angeles-Long Beach-Anaheim,602889
Cypress,CA,Los Angeles-Long Beach-Anaheim,720864
Mount Juliet,TN,Nashville-Davidson--Murfreesboro--Franklin,332278
Revere,MA,Boston-Cambridge-Newton,463982
Milford,CT,New Haven-Milford,309195
Cerritos,CA,Los Angeles-Long Beach-Anaheim,743385
Parsippany-Troy Hills Township,NJ,New York-Newark-Jersey City,438797
Eastvale,CA,Riverside-San Bernardino-Ontario,601991
San Jacinto,CA,Riverside-San Bernardino-Ontario,301578
Pinellas Park,FL,Tampa-St. Petersburg-Clearwater,200575
Aliso Viejo,CA,Los Angeles-Long Beach-Anaheim,793392
Mount Pleasant,MI,Mount Pleasant,146348
Milwaukie,OR,Portland-Vancouver-Hillsboro,391027
Niagara Falls,NY,Buffalo-Cheektowaga-Niagara Falls,98516
Methuen,MA,Boston-Cambridge-Newton,389212
Diamond Bar,CA,Los Angeles-Long Beach-Anaheim,733146
Cedar Hill,TX,Dallas-Fort Worth-Arlington,219279
Burlington,NC,Burlington,127075
Hoffman Estates,IL,Chicago-Naperville-Elgin,279746
Martinez,CA,San Francisco-Oakland-Hayward,617280
Kaneohe,HI,Urban Honolulu,881525
New Albany,IN,Louisville/Jefferson County,154966
Dublin,CA,San Francisco-Oakland-Hayward,984835
Galveston,TX,Houston-The Woodlands-Sugar Land,227019
Florence,KY,Cincinnati,200839
Roseburg,OR,Roseburg,224855
Parkersburg,WV,Parkersburg-Vienna,92389
Highland,CA,Riverside-San Bernardino-Ontario,345468
Bedford,TX,Dallas-Fort Worth-Arlington,264612
Del Rio,TX,Del Rio,125439
Claremore,OK,Tulsa,162263
Kannapolis,NC,Charlotte-Concord-Gastonia,153993
Lawrence,IN,Indianapolis-Carmel-Anderson,174326
Crestview,FL,Crestview-Fort Walton Beach-Destin,186594
Town of Elmira,NY,Elmira,97608
Pine Bluff,AR,Pine Bluff,48067
Harrisburg,PA,Harrisburg-Carlisle,55717
Longview,WA,Longview,274317
Portage,MI,Kalamazoo-Portage,191906
Potomac,MD,Washington-Arlington-Alexandria,968731
Fort Washington,MD,Washington-Arlington-Alexandria,331307
Grand Blanc,MI,Flint,188024
Vicksburg,MS,Vicksburg,128699
Draper,UT,Salt Lake City,576390
Murray,UT,Salt Lake City,390255
Littleton,CO,Denver-Aurora-Lakewood,498517
Cartersville,GA,Atlanta-Sandy Springs-Roswell,187371
Freehold,NJ,New York-Newark-Jersey City,438077
San Tan Valley,AZ,Phoenix-Mesa-Scottsdale,242757
Kernersville,NC,Winston-Salem,200166
Rowlett,TX,Dallas-Fort Worth-Arlington,260756
Middletown,CT,Hartford-West Hartford-East Hartford,222746
Hammond,LA,Hammond,154770
Joplin,MO,Joplin,115048
Morgan Hill,CA,San Jose-Sunnyvale-Santa Clara,979478
Saint Louis Park,MN,Minneapolis-St. Paul-Bloomington,330260
Wauwatosa,WI,Milwaukee-Waukesha-West Allis,264234
Bloomfield,NJ,New York-Newark-Jersey City,381011
Collierville,TN,Memphis,344344
Roseville,MI,Detroit-Warren-Dearborn,117306
Starkville,MS,Starkville,182620
Spanaway,WA,Seattle-Tacoma-Bellevue,335719
Town Of Ithaca,NY,Ithaca,262947
East Providence,RI,Providence-Warwick,257652
Minnetonka,MN,Minneapolis-St. Paul-Bloomington,400021
Burien,WA,Seattle-Tacoma-Bellevue,486630
Redford,MI,Detroit-Warren-Dearborn,112738
Zephyrhills,FL,Tampa-St. Petersburg-Clearwater,157869
Elmhurst,IL,Chicago-Naperville-Elgin,421261
Chester,VA,Richmond,249272
Dunwoody,GA,Atlanta-Sandy Springs-Roswell,484079
West Orange,NJ,New York-Newark-Jersey City,406051
Mount Vernon,WA,Mount Vernon-Anacortes,383497
Eureka,CA,Eureka-Arcata-Fortuna,302046
Brighton,MI,Detroit-Warren-Dearborn,313416
Hinesville,GA,Hinesville,142919
Sherman,TX,Sherman-Denison,162008
Mentor,OH,Cleveland-Elyria,205702
London,KY,London,121940
Dekalb,IL,Chicago-Naperville-Elgin,156072
Gallatin,TN,Nashville-Davidson--Murfreesboro--Franklin,270570
Prattville,AL,Montgomery,167462
Clarkston,MI,Detroit-Warren-Dearborn,281202
Bonney Lake,WA,Seattle-Tacoma-Bellevue,445974
Hobbs,NM,Hobbs,173563
Lakewood,OH,Cleveland-Elyria,211776
East Brunswick,NJ,New York-Newark-Jersey City,402432
Orangeburg,SC,Orangeburg,101573
Rocky Mount,NC,Rocky Mount,93162
Brea,CA,Los Angeles-Long Beach-Anaheim,747321
Wylie,TX,Dallas-Fort Worth-Arlington,272344
Auburn,CA,Sacramento--Roseville--Arden-Arcade,494091
Bloomfield Hills,MI,Detroit-Warren-Dearborn,520184
Port Richey,FL,Tampa-St. Petersburg-Clearwater,131307
Richmond,IN,Richmond,94659
Granbury,TX,Dallas-Fort Worth-Arlington,257432
Kapolei,HI,Urban Honolulu,678726
Issaquah,WA,Seattle-Tacoma-Bellevue,865865
Evans,GA,Augusta-Richmond County,269885
Hilo,HI,Hilo,379475
Thibodaux,LA,Houma-Thibodaux,193271
Evesham Township,NJ,Philadelphia-Camden-Wilmington,294033
Southaven,MS,Memphis,171171
Katy,TX,Houston-The Woodlands-Sugar Land,279221
Fuquay Varina,NC,Raleigh,271153
Desert Hot Springs,CA,Riverside-San Bernardino-Ontario,235901
Logan,UT,Logan,239735
Yorktown,VA,Virginia Beach-Norfolk-Newport News,329314
Seguin,TX,San Antonio-New Braunfels,205641
Blue Springs,MO,Kansas City,200894
Clovis,NM,Clovis,165029
Jonesboro,GA,Atlanta-Sandy Springs-Roswell,146132
Shakopee,MN,Minneapolis-St. Paul-Bloomington,302580
West Seneca,NY,Buffalo-Cheektowaga-Niagara Falls,177513
Enid,OK,Enid,84956
Cleveland Heights,OH,Cleveland-Elyria,126926
Danville,IL,Danville,63961
South Brunswick Township,NJ,New York-Newark-Jersey City,329952
Bridgewater Township,NJ,New York-Newark-Jersey City,486615
Beavercreek,OH,Dayton,222161
La Porte,IN,Michigan City-La Porte,165116
Grass Valley,CA,Truckee-Grass Valley,409459
Egg Harbor Township,NJ,Atlantic City-Hammonton,226330
Bountiful,UT,Ogden-Clearfield,383395
Beaumont,CA,Riverside-San Bernardino-Ontario,351101
Wallingford,CT,New Haven-Milford,266871
Thomasville,NC,Winston-Salem,135061
Mandeville,LA,New Orleans-Metairie,274507
Washington Township,NJ,Philadelphia-Camden-Wilmington,218867
Moline,IL,Davenport-Moline-Rock Island,108486
Altoona,PA,Altoona,78144
Everett,MA,Boston-Cambridge-Newton,472437
Arlington,MA,Boston-Cambridge-Newton,827452
Country Club,FL,Miami-Fort Lauderdale-West Palm Beach,315345
Lake Stevens,WA,Seattle-Tacoma-Bellevue,449447
Georgetown,KY,Lexington-Fayette,202227
Mansfield,OH,Mansfield,62123
Barnstable,MA,Barnstable Town,414252
Patchogue,NY,New York-Newark-Jersey City,366386
Austell,GA,Atlanta-Sandy Springs-Roswell,178179
Coachella,CA,Riverside-San Bernardino-Ontario,261944
Strongsville,OH,Cleveland-Elyria,235511
Rowland Heights,CA,Los Angeles-Long Beach-Anaheim,675731
Prescott Valley,AZ,Prescott,294373
Post Falls,ID,Coeur d'Alene,319133
Milledgeville,GA,Milledgeville,145475
Fairfield,OH,Cincinnati,190219
Enfield,CT,Hartford-West Hartford-East Hartford,190562
Chesterfield,MI,Detroit-Warren-Dearborn,245834
Lakeside,CA,San Diego-Carlsbad,536507
Elkton,MD,Philadelphia-Camden-Wilmington,236781
Burke,VA,Washington-Arlington-Alexandria,564719
Hackensack,NJ,New York-Newark-Jersey City,382990
Attleboro,MA,Providence-Warwick,349134
Newark,CA,San Francisco-Oakland-Hayward,917599
Alamo,TX,McAllen-Edinburg-Mission,99557
Cumberland,MD,Cumberland,95774
Haltom City,TX,Dallas-Fort Worth-Arlington,170984
Gig Harbor,WA,Seattle-Tacoma-Bellevue,544998
Jeffersonville,IN,Louisville/Jefferson County,157834
Town of Webster,NY,Rochester,273025
Euclid,OH,Cleveland-Elyria,89856
Nicholasville,KY,Lexington-Fayette,173304
Lindenhurst,NY,New York-Newark-Jersey City,400134
Pine Hills,FL,Orlando-Kissimmee-Sanford,178082
Winter Springs,FL,Orlando-Kissimmee-Sanford,289677
Manheim Township,PA,Lancaster,264908
Freeport,NY,New York-Newark-Jersey City,422055
Pittsfield,MA,Pittsfield,182334
Marion,IN,Marion,75573
York,PA,York-Hanover,176340
Southington,CT,Hartford-West Hartford-East Hartford,270436
New Bern,NC,New Bern,154401
Los Lunas,NM,Albuquerque,156786
Manchester Township,NJ,New York-Newark-Jersey City,136977
Kent,OH,Akron,156069
Oakland Park,FL,Miami-Fort Lauderdale-West Palm Beach,291399
Okeechobee,FL,Okeechobee,152394
Oxford,MS,Oxford,204594
Sayreville,NJ,New York-Newark-Jersey City,341586
Windsor Mill,MD,Baltimore-Columbia-Towson,225398
Wooster,OH,Wooster,166710
Fair Oaks,CA,Sacramento--Roseville--Arden-Arcade,468794
Brunswick,OH,Cleveland-Elyria,206723
Monrovia,CA,Los Angeles-Long Beach-Anaheim,750705
Prairieville,LA,Baton Rouge,244718
Sicklerville,NJ,Philadelphia-Camden-Wilmington,195755
Brentwood,TN,Nashville-Davidson--Murfreesboro--Franklin,712991
Walla Walla,WA,Walla Walla,278689
Bell Gardens,CA,Los Angeles-Long Beach-Anaheim,485754
Covington,KY,Cincinnati,113334
Rancho Santa Margarita,CA,Los Angeles-Long Beach-Anaheim,744792
Concord,NH,Concord,267348
Peachtree Corners,GA,Atlanta-Sandy Springs-Roswell,377137
Chesterfield,MO,St. Louis,408680
Phenix City,AL,Columbus,101259
Texas City,TX,Houston-The Woodlands-Sugar Land,137959
Lake Oswego,OR,Portland-Vancouver-Hillsboro,702595
Beloit,WI,Janesville-Beloit,100036
Hicksville,NY,New York-Newark-Jersey City,500767
Fenton,MI,Flint,252274
Xenia,OH,Dayton,135845
Campbell,CA,San Jose-Sunnyvale-Santa Clara,1343158
Lake Mary,FL,Orlando-Kissimmee-Sanford,338920
Raeford,NC,Fayetteville,181317
Russellville,AR,Russellville,133399
Penn Hills,PA,Pittsburgh,101616
Arlington,WA,Seattle-Tacoma-Bellevue,432021
Cutler Bay,FL,Miami-Fort Lauderdale-West Palm Beach,336457
Laurel,MS,Laurel,97076
Wenatchee,WA,Wenatchee,336750
Rockledge,FL,Palm Bay-Melbourne-Titusville,280541
Carol Stream,IL,Chicago-Naperville-Elgin,268700
Oswego,IL,Chicago-Naperville-Elgin,271451
Billerica,MA,Boston-Cambridge-Newton,461196
Keller,TX,Dallas-Fort Worth-Arlington,421329
Hopkinsville,KY,Clarksville,101576
Kearny,NJ,New York-Newark-Jersey City,388993
State College,PA,State College,309503
Coppell,TX,Dallas-Fort Worth-Arlington,428877
Martinez,GA,Augusta-Richmond County,177990
Crystal Lake,IL,Chicago-Naperville-Elgin,244654
Mt Laurel Township,NJ,Philadelphia-Camden-Wilmington,288770
Menlo Park,CA,San Francisco-Oakland-Hayward,2368968
Greeneville,TN,Greeneville,114106
Burlington,VT,Burlington-South Burlington,368057
Gaffney,SC,Gaffney,87455
San Bruno,CA,San Francisco-Oakland-Hayward,1194084
Fenton,MO,St. Louis,240758
Merritt Island,FL,Palm Bay-Melbourne-Titusville,314939
Pekin,IL,Peoria,92371
Linden,NJ,New York-Newark-Jersey City,312756
Winder,GA,Atlanta-Sandy Springs-Roswell,196155
Tupelo,MS,Tupelo,131133
Muskogee,OK,Muskogee,68591
Westfield,MA,Springfield,249068
Gillette,WY,Gillette,276402
North Lauderdale,FL,Miami-Fort Lauderdale-West Palm Beach,242266
Urbandale,IA,Des Moines-West Des Moines,258899
Liverpool,NY,Syracuse,160452
Woonsocket,RI,Providence-Warwick,231472
Levittown,NY,New York-Newark-Jersey City,455229
Lenoir,NC,Hickory-Lenoir-Morganton,117523
Bear,DE,Philadelphia-Camden-Wilmington,286250
Hudson,FL,Tampa-St. Petersburg-Clearwater,186624
Bartlesville,OK,Bartlesville,108708
Shelton,CT,Bridgeport-Stamford-Norwalk,335381
Berkeley Township,NJ,New York-Newark-Jersey City,495737
Northville,MI,Detroit-Warren-Dearborn,475272
North Brunswick Township,NJ,New York-Newark-Jersey City,346643
Somerset,KY,Somerset,158316
Addison,IL,Chicago-Naperville-Elgin,264030
Fitchburg,MA,Worcester,235620
Gonzales,LA,Baton Rouge,203779
Leominster,MA,Worcester,295147
Franklin Township,NJ,New York-Newark-Jersey City,422781
Opelika,AL,Auburn-Opelika,173112
Taylors,SC,Greenville-Anderson-Mauldin,199421
Paso Robles,CA,San Luis Obispo-Paso Robles-Arroyo Grande,516611
San Pablo,CA,San Francisco-Oakland-Hayward,490848
Ballwin,MO,St. Louis,304600
The Colony,TX,Dallas-Fort Worth-Arlington,271507
Bluffton,SC,Hilton Head Island-Bluffton-Beaufort,296836
Moses Lake,WA,Moses Lake,226927
North Miami Beach,FL,Miami-Fort Lauderdale-West Palm Beach,298726
La Puente,CA,Los Angeles-Long Beach-Anaheim,488637
South Valley,NM,Albuquerque,160868
Marlboro Township,NJ,New York-Newark-Jersey City,549262
Essex,MD,Baltimore-Columbia-Towson,199358
Bullhead City,AZ,Lake Havasu City-Kingman,203596
Aiea,HI,Urban Honolulu,853912
Lancaster,TX,Dallas-Fort Worth-Arlington,187411
Teaneck,NJ,New York-Newark-Jersey City,423834
Manalapan Township,NJ,New York-Newark-Jersey City,519029
Painesville,OH,Cleveland-Elyria,148483
Holyoke,MA,Springfield,213161
Ceres,CA,Modesto,315062
Wilkes-Barre,PA,Scranton--Wilkes-Barre--Hazleton,69410
Elmont,NY,New York-Newark-Jersey City,488094
Salem,MA,Boston-Cambridge-Newton,449638
Middle River,MD,Baltimore-Columbia-Towson,228447
Fond du Lac,WI,Fond du Lac,123133
Owasso,OK,Tulsa,198877
Brookfield,WI,Milwaukee-Waukesha-West Allis,344328
Monroe Township,NJ,New York-Newark-Jersey City,462544
Norwich,CT,Norwich-New London,159506
Beaufort,SC,Hilton Head Island-Bluffton-Beaufort,222886
Sun City,AZ,Phoenix-Mesa-Scottsdale,207573
Streamwood,IL,Chicago-Naperville-Elgin,211196
Moorhead,MN,Fargo,207366
Rancho Palos Verdes,CA,Los Angeles-Long Beach-Anaheim,1358797
Henderson,NC,Henderson,80558
Hilliard,OH,Columbus,308996
Mundelein,IL,Chicago-Naperville-Elgin,238276
New Berlin,WI,Milwaukee-Waukesha-West Allis,302052
Los Banos,CA,Merced,328538
Wheeling,IL,Chicago-Naperville-Elgin,238366
Stevens Point,WI,Stevens Point,169562
Scarsdale,NY,New York-Newark-Jersey City,1205399
Amherst,MA,Springfield,378362
Cleburne,TX,Dallas-Fort Worth-Arlington,170289
Casselberry,FL,Orlando-Kissimmee-Sanford,245162
Clinton,MD,Washington-Arlington-Alexandria,315848
Kerrville,TX,Kerrville,233924
Germantown,TN,Memphis,356134
Bartlett,IL,Chicago-Naperville-Elgin,296481
Marlborough,MA,Boston-Cambridge-Newton,404851
Maplewood,MN,Minneapolis-St. Paul-Bloomington,263531
Montclair,NJ,New York-Newark-Jersey City,726825
Hillsborough Township,NJ,New York-Newark-Jersey City,482997
Spanish Fork,UT,Provo-Orem,323748
Burleson,TX,Dallas-Fort Worth-Arlington,219457
Jacksonville,AR,Little Rock-North Little Rock-Conway,103362
Winslow Township,NJ,Philadelphia-Camden-Wilmington,185476
Bristol,TN,Kingsport-Bristol-Bristol,131803
North Augusta,SC,Augusta-Richmond County,165986
Riverton,UT,Salt Lake City,433894
Bowling Green,OH,Toledo,192166
Wheeling,WV,Wheeling,102723
Woodinville,WA,Seattle-Tacoma-Bellevue,862731
West Babylon,NY,New York-Newark-Jersey City,409170
Milton,GA,Atlanta-Sandy Springs-Roswell,580263
Kinston,NC,Kinston,86246
Kendall West,FL,Miami-Fort Lauderdale-West Palm Beach,363511
Belton,TX,Killeen-Temple,194601
Elizabeth City,NC,Elizabeth City,142760
Woburn,MA,Boston-Cambridge-Newton,540948
Montgomery,TX,Houston-The Woodlands-Sugar Land,292239
Lake Wales,FL,Lakeland-Winter Haven,154998
Great Neck,NY,New York-Newark-Jersey City,1246491
Brighton,CO,Denver-Aurora-Lakewood,371746
Lebanon,OH,Cincinnati,244089
Lutherville Timonium,MD,Baltimore-Columbia-Towson,398013
Northbrook,IL,Chicago-Naperville-Elgin,544411
Oakley,CA,San Francisco-Oakland-Hayward,578512
Papillion,NE,Omaha-Council Bluffs,269624
Nottingham,MD,Baltimore-Columbia-Towson,255743
Waianae,HI,Urban Honolulu,482501
Wentzville,MO,St. Louis,259691
Hallandale,FL,Miami-Fort Lauderdale-West Palm Beach,276872
Rock Island,IL,Davenport-Moline-Rock Island,91837
Warren,OH,Youngstown-Warren-Boardman,39341
Port Huron,MI,Detroit-Warren-Dearborn,99638
Merrillville,IN,Chicago-Naperville-Elgin,163660
Kankakee,IL,Kankakee,98823
Culver City,CA,Los Angeles-Long Beach-Anaheim,1325134
Saratoga Springs,NY,Albany-Schenectady-Troy,362102
Fairborn,OH,Dayton,122664
Duncanville,TX,Dallas-Fort Worth-Arlington,192937
Fairburn,GA,Atlanta-Sandy Springs-Roswell,194155
Ringgold,GA,Chattanooga,183663
Marion,IA,Cedar Rapids,198684
Opelousas,LA,Opelousas,117161
Harvey,LA,New Orleans-Metairie,173451
Greenacres,FL,Miami-Fort Lauderdale-West Palm Beach,231816
Ramona,CA,San Diego-Carlsbad,547662
Miamisburg,OH,Dayton,174567
La Quinta,CA,Riverside-San Bernardino-Ontario,464785
Palmetto,FL,North Port-Sarasota-Bradenton,238244
Montclair,CA,Riverside-San Bernardino-Ontario,454703
Palestine,TX,Palestine,103690
Pacifica,CA,San Francisco-Oakland-Hayward,1072522
Searcy,AR,Searcy,135550
Glen Ellyn,IL,Chicago-Naperville-Elgin,410321
Chelsea,MA,Boston-Cambridge-Newton,456669
Chester Township,PA,Philadelphia-Camden-Wilmington,44182
Salem,VA,Roanoke,190376
Park Ridge,IL,Chicago-Naperville-Elgin,415034
Tifton,GA,Tifton,138159
Arnold,MO,St. Louis,176759
Plymouth,MI,Detroit-Warren-Dearborn,350265
Greenville,MS,Greenville,709311
Romeoville,IL,Chicago-Naperville-Elgin,212180
Brownsburg,IN,Indianapolis-Carmel-Anderson,228078
Ocoee,FL,Orlando-Kissimmee-Sanford,270334
El Dorado Hills,CA,Sacramento--Roseville--Arden-Arcade,669743
Perrysburg,OH,Toledo,240263
Boerne,TX,San Antonio-New Braunfels,383244
Atwater,CA,Merced,271520
Hurst,TX,Dallas-Fort Worth-Arlington,238037
Texarkana,AR,Texarkana,101291
Dunnellon,FL,Ocala,169247
Aventura,FL,Miami-Fort Lauderdale-West Palm Beach,557252
Kearney,NE,Kearney,221223
Englewood,CO,Denver-Aurora-Lakewood,416438
Calhoun,GA,Calhoun,147810
Hanover Park,IL,Chicago-Naperville-Elgin,218459
Leavenworth,KS,Kansas City,156757
Alamogordo,NM,Alamogordo,134001
Henderson,KY,Evansville,120331
Northglenn,CO,Denver-Aurora-Lakewood,353304
Friendswood,TX,Houston-The Woodlands-Sugar Land,318816
Middletown,DE,Philadelphia-Camden-Wilmington,349107
Ronkonkoma,NY,New York-Newark-Jersey City,388697
Franconia,VA,Washington-Arlington-Alexandria,520512
Mount Airy,NC,Mount Airy,117042
Lincoln Park,MI,Detroit-Warren-Dearborn,92959
Rohnert Park,CA,Santa Rosa,584275
Reynoldsburg,OH,Columbus,200871
Hilton Head Island,SC,Hilton Head Island-Bluffton-Beaufort,527731
Greenfield,WI,Milwaukee-Waukesha-West Allis,201874
Northport,AL,Tuscaloosa,204327
Huber Heights,OH,Dayton,125039
Moorpark,CA,Oxnard-Thousand Oaks-Ventura,697130
Braintree,MA,Boston-Cambridge-Newton,545090
Copperas Cove,TX,Killeen-Temple,131257
District Heights,MD,Washington-Arlington-Alexandria,267007
Port Angeles,WA,Port Angeles,278508
McMinnville,OR,Portland-Vancouver-Hillsboro,338411
Roy,UT,Ogden-Clearfield,273232
Town of Lancaster,NY,Buffalo-Cheektowaga-Niagara Falls,230110
Egypt Lake-Leto,FL,Tampa-St. Petersburg-Clearwater,222407
Converse,TX,San Antonio-New Braunfels,180790
Trumbull,CT,Bridgeport-Stamford-Norwalk,376949
Claremont,CA,Los Angeles-Long Beach-Anaheim,714957
Altadena,CA,Los Angeles-Long Beach-Anaheim,870705
Arcadia,FL,Arcadia,133940
East Meadow,NY,New York-Newark-Jersey City,514050
Beverly,MA,Boston-Cambridge-Newton,526382
Kailua Kona,HI,Hilo,647175
Myrtle Beach,SC,Myrtle Beach-Conway-North Myrtle Beach,265484
Laramie,WY,Laramie,255109
Fort Lee,NJ,New York-Newark-Jersey City,717299
Sulphur,LA,Lake Charles,176849
East Point,GA,Atlanta-Sandy Springs-Roswell,176809
Shrewsbury,MA,Worcester,471161
Manitowoc,WI,Manitowoc,119985
Niles,MI,Niles-Benton Harbor,128623
Oro Valley,AZ,Tucson,335334
Lemoore,CA,Hanford-Corcoran,254853
Cedar Falls,IA,Waterloo-Cedar Falls,198557
Moncks Corner,SC,Charleston-North Charleston,233408
Tucker,GA,Atlanta-Sandy Springs-Roswell,263473
Buffalo Grove,IL,Chicago-Naperville-Elgin,327799
Sykesville,MD,Baltimore-Columbia-Towson,403387
Wildwood,MO,St. Louis,394724
Ewing Township,NJ,Trenton,204377
Lake Worth,FL,Miami-Fort Lauderdale-West Palm Beach,247922
Lewiston,ME,Lewiston-Auburn,165409
Grovetown,GA,Augusta-Richmond County,193887
Town Of Yorktown,NY,New York-Newark-Jersey City,480758
Waycross,GA,Waycross,80299
Menomonee Falls,WI,Milwaukee-Waukesha-West Allis,275695
Cape Girardeau,MO,Cape Girardeau,141083
Town Of Clifton Park,NY,Albany-Schenectady-Troy,298498
Belleville,NJ,New York-Newark-Jersey City,329729
San Juan Capistrano,CA,Los Angeles-Long Beach-Anaheim,907114
Havertown,PA,Philadelphia-Camden-Wilmington,358105
Sonoma,CA,Santa Rosa,801343
Richfield,MN,Minneapolis-St. Paul-Bloomington,276554
Smithtown,NY,New York-Newark-Jersey City,510077
Hampton,GA,Atlanta-Sandy Springs-Roswell,198184
Avon,IN,Indianapolis-Carmel-Anderson,236853
Wildomar,CA,Riverside-San Bernardino-Ontario,423988
Oakville,MO,St. Louis,251253
East Stroudsburg,PA,East Stroudsburg,169106
Boardman,OH,Youngstown-Warren-Boardman,119496
Pearl City,HI,Urban Honolulu,762436
San Juan,TX,McAllen-Edinburg-Mission,111377
Reidsville,NC,Greensboro-High Point,113968
Pahrump,NV,Pahrump,254219
West Hollywood,CA,Los Angeles-Long Beach-Anaheim,1442101
Alliance,OH,Canton-Massillon,102502
Winona,MN,Winona,177811
Calumet City,IL,Chicago-Naperville-Elgin,99254
West Chicago,IL,Chicago-Naperville-Elgin,244265
Rockwall,TX,Dallas-Fort Worth-Arlington,292758
Bell,CA,Los Angeles-Long Beach-Anaheim,471268
Santa Paula,CA,Oxnard-Thousand Oaks-Ventura,491081
Redmond,OR,Bend-Redmond,328529
Poplar Bluff,MO,Poplar Bluff,115600
Pineville,LA,Alexandria,139213
Athens,OH,Athens,177759
Halethorpe,MD,Baltimore-Columbia-Towson,220772
Placerville,CA,Sacramento--Roseville--Arden-Arcade,414349
Natick,MA,Boston-Cambridge-Newton,641052
Temple City,CA,Los Angeles-Long Beach-Anaheim,765259
Cabot,AR,Little Rock-North Little Rock-Conway,155264
Roseville,MN,Minneapolis-St. Paul-Bloomington,299343
Franklin,WI,Milwaukee-Waukesha-West Allis,283724
Winchester,KY,Lexington-Fayette,147893
Torrington,CT,Torrington,151170
University,FL,Tampa-St. Petersburg-Clearwater,155254
Commerce,MI,Detroit-Warren-Dearborn,295539
La Vergne,TN,Nashville-Davidson--Murfreesboro--Franklin,225281
Kearns,UT,Salt Lake City,283175
Batavia,OH,Cincinnati,205487
Troy,OH,Dayton,170927
New Lenox,IL,Chicago-Naperville-Elgin,305363
Andover,MA,Boston-Cambridge-Newton,681052
Cottage Grove,MN,Minneapolis-St. Paul-Bloomington,278857
Chelmsford,MA,Boston-Cambridge-Newton,467130
Seneca,SC,Seneca,181897
Shelbyville,TN,Shelbyville,162576
Villa Rica,GA,Atlanta-Sandy Springs-Roswell,190474
Reisterstown,MD,Baltimore-Columbia-Towson,300288
Bettendorf,IA,Davenport-Moline-Rock Island,248980
Hudsonville,MI,Grand Rapids-Wyoming,268437
Coventry,RI,Providence-Warwick,270923
Staunton,VA,Staunton-Waynesboro,183298
Calexico,CA,El Centro,255723
Battle Ground,WA,Portland-Vancouver-Hillsboro,422706
South Miami Heights,FL,Miami-Fort Lauderdale-West Palm Beach,296055
Clover,SC,Charlotte-Concord-Gastonia,259033
Shelby,NC,Shelby,100901
Pickerington,OH,Columbus,269345
Mableton,GA,Atlanta-Sandy Springs-Roswell,223892
University City,MO,St. Louis,193148
Greenville,TX,Dallas-Fort Worth-Arlington,154335
Los Gatos,CA,San Jose-Sunnyvale-Santa Clara,2023960
Stow,OH,Akron,198509
Oak Creek,WI,Milwaukee-Waukesha-West Allis,267459
Barstow,CA,Riverside-San Bernardino-Ontario,145847
Royal Palm Beach,FL,Miami-Fort Lauderdale-West Palm Beach,329537
Thomasville,GA,Thomasville,146019
Rubidoux,CA,Riverside-San Bernardino-Ontario,393457
Moultrie,GA,Moultrie,92012
Glastonbury,CT,Hartford-West Hartford-East Hartford,354405
Lorton,VA,Washington-Arlington-Alexandria,516427
Hagerstown,MD,Hagerstown-Martinsburg,151667
Beverly Hills,CA,Los Angeles-Long Beach-Anaheim,3581840
Upper Arlington,OH,Columbus,485885
Pleasant Hill,CA,San Francisco-Oakland-Hayward,708623
Shelton,WA,Shelton,277134
Powell,OH,Columbus,419292
Dartmouth,MA,Providence-Warwick,384318
Oak Harbor,WA,Oak Harbor,356288
Galesburg,IL,Galesburg,70897
Portage,IN,Chicago-Naperville-Elgin,177911
Marysville,CA,Yuba City,269670
Garden City,KS,Garden City,168712
Madison,MS,Jackson,274927
Town Of Carmel,NY,New York-Newark-Jersey City,402639
Paris,TX,Paris,91918
