RegionName,State,Metro,2020-01
Ocala,FL,Ocala,166116
Boca Raton,FL,Miami-Fort Lauderdale-West Palm Beach,422269
Shreveport,LA,Shreveport-Bossier City,103134
Woodbridge,VA,Washington-Arlington-Alexandria,354620
Rochester,NY,Rochester,128115
Montgomery,AL,Montgomery,91926
Bradenton,FL,North Port-Sarasota-Bradenton,261742
Corona,CA,Riverside-San Bernardino-Ontario,512815
Oceanside,CA,San Diego-Carlsbad,566615
Tacoma,WA,Seattle-Tacoma-Bellevue,343487
Grand Rapids,MI,Grand Rapids-Wyoming,177723
Gainesville,FL,Gainesville,214071
Yonkers,NY,New York-Newark-Jersey City,533814
Glendale,CA,Los Angeles-Long Beach-Anaheim,961995
Augusta,GA,Augusta-Richmond County,108586
Moreno Valley,CA,Riverside-San Bernardino-Ontario,350439
Akron,OH,Akron,71797
Aurora,IL,Chicago-Naperville-Elgin,193760
Wilmington,NC,Wilmington,259251
Huntington Beach,CA,Los Angeles-Long Beach-Anaheim,905613
Huntsville,AL,Huntsville,178465
Amarillo,TX,Amarillo,133963
Eugene,OR,Eugene,338518
Salt Lake City,UT,Salt Lake City,436115
Port Saint Lucie,FL,Port St. Lucie,238620
Salinas,CA,Salinas,521572
Little Rock,AR,Little Rock-North Little Rock-Conway,150536
Fort Collins,CO,Fort Collins,435387
Hayward,CA,San Francisco-Oakland-Hayward,683217
Brownsville,TX,Brownsville-Harlingen,103350
Rockford,IL,Rockford,92212
Evansville,IN,Evansville,131122
Worcester,MA,Worcester,268408
Overland Park,KS,Kansas City,320863
Lancaster,CA,Los Angeles-Long Beach-Anaheim,305292
Salem,OR,Salem,293913
Garden Grove,CA,Los Angeles-Long Beach-Anaheim,654486
Grand Prairie,TX,Dallas-Fort Worth-Arlington,220975
Beaverton,OR,Portland-Vancouver-Hillsboro,409316
Escondido,CA,San Diego-Carlsbad,556381
Providence,RI,Providence-Warwick,240913
Fort Lauderdale,FL,Miami-Fort Lauderdale-West Palm Beach,371928
Ontario,CA,Riverside-San Bernardino-Ontario,455441
Columbus,GA,Columbus,103865
Sioux Falls,SD,Sioux Falls,209491
Charleston,SC,Charleston-North Charleston,339668
Kissimmee,FL,Orlando-Kissimmee-Sanford,236491
Chattanooga,TN,Chattanooga,164328
Tempe,AZ,Phoenix-Mesa-Scottsdale,321513
Murfreesboro,TN,Nashville-Davidson--Murfreesboro--Franklin,269673
Rancho Cucamonga,CA,Riverside-San Bernardino-Ontario,568493
Cape Coral,FL,Cape Coral-Fort Myers,243163
Savannah,GA,Savannah,158137
Fredericksburg,VA,Washington-Arlington-Alexandria,311943
Killeen,TX,Killeen-Temple,135104
Palmdale,CA,Los Angeles-Long Beach-Anaheim,334138
Roanoke,VA,Roanoke,170183
Newport News,VA,Virginia Beach-Norfolk-Newport News,192566
El Cajon,CA,San Diego-Carlsbad,560288
Clarksville,TN,Clarksville,175469
Jackson,MS,Jackson,44573
Elk Grove,CA,Sacramento--Roseville--Arden-Arcade,458787
Peoria,AZ,Phoenix-Mesa-Scottsdale,310590
Sugar Land,TX,Houston-The Woodlands-Sugar Land,312424
Naperville,IL,Chicago-Naperville-Elgin,415277
Fairfax,VA,Washington-Arlington-Alexandria,610806
Boynton Beach,FL,Miami-Fort Lauderdale-West Palm Beach,310186
Topeka,KS,Topeka,124019
McKinney,TX,Dallas-Fort Worth-Arlington,326295
Lafayette,LA,Lafayette,172849
Pembroke Pines,FL,Miami-Fort Lauderdale-West Palm Beach,375553
Edmond,OK,Oklahoma City,244199
Lakeland,FL,Lakeland-Winter Haven,178985
Pueblo,CO,Pueblo,193991
Springfield,MA,Springfield,174482
Odessa,TX,Odessa,194281
Henrico,VA,Richmond,259963
Dayton,OH,Dayton,60144
Midland,TX,Midland,267058
Lakewood,CO,Denver-Aurora-Lakewood,455158
Cumming,GA,Atlanta-Sandy Springs-Roswell,347947
Alexandria,VA,Washington-Arlington-Alexandria,669315
Tyler,TX,Tyler,157568
Pomona,CA,Los Angeles-Long Beach-Anaheim,452312
Visalia,CA,Visalia-Porterville,248364
Cypress,TX,Houston-The Woodlands-Sugar Land,269329
Round Rock,TX,Austin-Round Rock,301678
Ann Arbor,MI,Ann Arbor,410144
Whittier,CA,Los Angeles-Long Beach-Anaheim,559658
Kansas City,KS,Kansas City,112997
Sunnyvale,CA,San Jose-Sunnyvale-Santa Clara,1750838
Hollywood,FL,Miami-Fort Lauderdale-West Palm Beach,316291
Las Cruces,NM,Las Cruces,174933
Edinburg,TX,McAllen-Edinburg-Mission,128596
Conroe,TX,Houston-The Woodlands-Sugar Land,228046
Lansing,MI,Lansing-East Lansing,95504
South Bend,IN,South Bend-Mishawaka,106075
Cary,NC,Raleigh,382019
Paterson,NJ,New York-Newark-Jersey City,311477
Pasadena,TX,Houston-The Woodlands-Sugar Land,161441
Beaumont,TX,Beaumont-Port Arthur,109736
Yuma,AZ,Yuma,177780
Frisco,TX,Dallas-Fort Worth-Arlington,410457
Columbia,MO,Columbia,194488
Syracuse,NY,Syracuse,98555
Pasadena,CA,Los Angeles-Long Beach-Anaheim,932685
Bridgeport,CT,Bridgeport-Stamford-Norwalk,217936
Macon,GA,Macon-Bibb County,92482
Canton,OH,Canton-Massillon,106757
Newark,DE,Philadelphia-Camden-Wilmington,251189
Mesquite,TX,Dallas-Fort Worth-Arlington,188105
Renton,WA,Seattle-Tacoma-Bellevue,529704
Metairie,LA,New Orleans-Metairie,268909
Santa Maria,CA,Santa Maria-Santa Barbara,413286
Torrance,CA,Los Angeles-Long Beach-Anaheim,879087
Clearwater,FL,Tampa-St. Petersburg-Clearwater,249850
Fullerton,CA,Los Angeles-Long Beach-Anaheim,702477
McAllen,TX,McAllen-Edinburg-Mission,143876
Orange,CA,Los Angeles-Long Beach-Anaheim,734921
Compton,CA,Los Angeles-Long Beach-Anaheim,433329
Hampton,VA,Virginia Beach-Norfolk-Newport News,174189
Bellevue,WA,Seattle-Tacoma-Bellevue,1107984
Inglewood,CA,Los Angeles-Long Beach-Anaheim,604049
Kent,WA,Seattle-Tacoma-Bellevue,451415
West Valley City,UT,Salt Lake City,307147
Olathe,KS,Kansas City,274693
Warren,MI,Detroit-Warren-Dearborn,148723
Miramar,FL,Miami-Fort Lauderdale-West Palm Beach,347531
Thornton,CO,Denver-Aurora-Lakewood,395757
Abilene,TX,Abilene,135682
Billings,MT,Billings,259747
Concord,CA,San Francisco-Oakland-Hayward,626614
Cedar Rapids,IA,Cedar Rapids,153974
Bloomington,IN,Bloomington,226356
Boulder,CO,Boulder,893321
Sterling Heights,MI,Detroit-Warren-Dearborn,221352
Saginaw,MI,Saginaw,66279
Carrollton,TX,Dallas-Fort Worth-Arlington,287381
Coral Springs,FL,Miami-Fort Lauderdale-West Palm Beach,407607
Thousand Oaks,CA,Oxnard-Thousand Oaks-Ventura,767958
Victorville,CA,Riverside-San Bernardino-Ontario,265808
Roseville,CA,Sacramento--Roseville--Arden-Arcade,491425
Surprise,AZ,Phoenix-Mesa-Scottsdale,277584
New Haven,CT,New Haven-Milford,196009
Hamilton,OH,Cincinnati,177521
Waco,TX,Waco,138162
Simi Valley,CA,Oxnard-Thousand Oaks-Ventura,612240
Stamford,CT,Bridgeport-Stamford-Norwalk,565179
Pearland,TX,Houston-The Woodlands-Sugar Land,271323
Elizabeth,NJ,New York-Newark-Jersey City,314851
Denton,TX,Dallas-Fort Worth-Arlington,245624
Santa Fe,NM,Santa Fe,409667
Gainesville,GA,Gainesville,220657
Springfield,IL,Springfield,120536
Allentown,PA,Allentown-Bethlehem-Easton,147730
Lake Charles,LA,Lake Charles,179601
Flint,MI,Flint,24470
Frederick,MD,Washington-Arlington-Alexandria,323979
Hartford,CT,Hartford-West Hartford-East Hartford,155406
Murrieta,CA,Riverside-San Bernardino-Ontario,454890
Temecula,CA,Riverside-San Bernardino-Ontario,491014
Hemet,CA,Riverside-San Bernardino-Ontario,282276
East Los Angeles,CA,Los Angeles-Long Beach-Anaheim,489660
Joliet,IL,Chicago-Naperville-Elgin,179348
Vallejo,CA,Vallejo-Fairfield,430788
