ranking,city,statecode,avg_sal,med_h,med_r,avg_h_temp,avg_l_temp,med_age,unemp,avg_price,entry_sal,positions,lat,lng,mtg30,mtg_by_sal,rent12,rent_by_sal,rent_mtg_avg,rma_weight,our_rank,combined score,weighted score,weighted rank
42,Jacksonville,FL,45760,174658,1019,79.2,61.2,38.1,3.3,196115,56689,14,30.3322,-81.6749,"$9,073.08 ",16%,12228,22%,19%,19.00,65,107,61.00,35
46,Knoxville,TN,43840,172333,779,69.5,48.8,40.5,3.3,200199,60289,6,35.9692,-83.9496,"$9,262.02 ",15%,9348,16%,16%,15.50,52,98,61.50,36
52,Buffalo,NY,48180,144300,763,56.3,40.2,40.8,4.7,102896,64065,12,42.9017,-78.8487,"$4,760.39 ",7%,9156,14%,11%,10.50,12,64,62.50,37
49,Kansas City,MO,49460,201900,894,64.6,44.5,37.1,3.4,157990,63928,44,39.1239,-94.5541,"$7,309.26 ",11%,10728,17%,14%,14.00,28,77,63.00,38
50,Pittsburgh,PA,48580,140855,776,60.6,41.9,43,4.3,158964,54999,49,40.4396,-79.9763,"$7,354.32 ",13%,9312,17%,15%,15.00,41,91,65.00,39
43,Manchester,NH,52640,234097,1132,82.4,62.8,40.5,2.5,267826,59341,16,42.9848,-71.4447,"$12,390.72 ",21%,13584,23%,22%,22.00,79,122,65.00,40
54,Syracuse,NY,49850,132500,804,57.6,38.9,39.2,4.5,98555,58820,13,43.0409,-76.1438,"$4,559.56 ",8%,9648,16%,12%,12.00,15,69,66.00,41
55,Chattanooga,TN,42870,164550,771,71.6,50.1,40.1,3.5,164328,76631,2,35.0657,-85.2487,"$7,602.48 ",10%,9252,12%,11%,11.00,21,76,66.00,42
47,Hartford,CT,60040,215542,1057,60.7,41.5,40.7,4.2,155406,48875,46,41.7661,-72.6834,"$7,189.72 ",15%,12684,26%,21%,20.50,59,106,67.50,43
45,Charleston,SC,44970,246408,1054,76.1,55.5,36.6,3,339668,58807,6,32.8151,-79.963,"$15,714.43 ",27%,12648,22%,25%,24.50,91,136,69.50,44
53,Richmond,VA,49840,225767,1044,69.6,48.1,38.5,3.2,240257,67878,27,37.5295,-77.4756,"$11,115.27 ",16%,12528,18%,17%,17.00,63,116,70.00,45
