Rank,City,State,Average Annual Salary,Median Home Price,Median Montly Rent,Avg High Temp,Avg Low Temp,Median Age,Unemployment Rate
92,Detroit,MI,52100,156508,890,57.8,42.7,40,4.3
93,Allentown ,PA,46920,174858,990,61.4,40.8,41.3,4.5
94,Toledo,OH,44180,117850,710,59.9,40.6,37.3,4.9
95,New Haven,CT,55450,204475,1100,60.6,43.7,40.1,4.1
96,Lafayette,LA,39940,165500,769,,,35.4,4.9
97,Youngstown,OH,41360,86850,652,58.3,39.7,43.9,5.8
98,Scranton,PA,41980,100600,745,58.7,40,42.8,5
99,Daytona Beach,FL,38710,192817,990,80.1,61.6,47.1,3.7
100,Baltimore,MD,56400,248833,1220,65,45.1,38.3,4.2
101,Killeen,TX,41770,155500,888,,,31.1,4
102,Philadelphia,PA,54940,200142,1075,64.6,47.1,38.6,4.2
103,Virginia Beach,VA,47410,220275,1124,68.2,52,35.7,3.3
104,Chicago,IL,54160,221983,1048,59,40.7,37,4.2
105,Corpus Christi,TX,44710,,940,,,35.7,5
106,Albuquerque,NM,46400,201900,850,68.7,45.4,37.7,4.6
107,Los Angeles,CA,53803,526214,1362,69,56.2,35.9,4.2
108,Beaumont,TX,47900,,797,,,36.9,6.2
109,Baton Rouge,LA,44500,179350,873,78.9,57.9,34.9,4.3
110,El Paso,TX,38610,151300,789,77.4,51.6,31.9,4.3
111,Jackson,MS,42770,,838,75.5,53.6,36,4.1
112,McAllen ,TX,36380,,699,85.9,65.2,28.9,6.6
113,Miami,FL,46860,247113,1232,84.3,70,40.7,3.7
114,New Orleans,LA,43310,193575,947,78.2,61.1,37.7,4.5
115,Flint,MI,45820,121900,738,,,40.1,5.1
116,Brownsville,TX,35240,,683,,,31.4,6.2
117,Salinas,CA,48290,581342,1338,,,33.9,6.4
118,Memphis,TN,43950,151900,883,72.4,53.6,35.9,4.1
119,Fresno,CA,45510,260733,931,76.7,51.9,31.8,7.4
120,Modesto,CA,46176,289168,1011,76,51.3,32.9,7
121,Mobile,AL,43830,126976,828,,,37.3,4.7
122,Shreveport,LA,39400,,789,,,36.7,5.2
123,Stockton,CA,46770,352350,1100,74.3,48.3,33.9,5.9
124,Bakersfield,CA,47680,226908,933,76.8,53.5,31.3,8
125,San Juan,PR,29820,,502,86.6,75.4,39.9,7.7
