ranking,city,statecode,avg_sal,med_h,med_r,avg_h_temp,avg_l_temp,med_age,unemp,avg_price,entry_sal,positions
88,Little Rock,AR,43780,147150,805,72.8,52.4,36.5,3.3,150536,63600,23
89,Birmingham,AL,47300,171450,831,73.8,52.6,38.4,3.6,59747,54892,20
91,Providence,RI,52220,228804,925,60.6,42.5,40.2,4.1,240913,62635,25
92,Detroit,MI,52100,156508,890,57.8,42.7,40,4.3,34909,70109,60
94,Toledo,OH,44180,117850,710,59.9,40.6,37.3,4.9,73883,56309,2
95,New Haven,CT,55450,204475,1100,60.6,43.7,40.1,4.1,196009,63005,22
96,Lafayette,LA,39940,165500,769,,,35.4,4.9,172849,55852,4
97,Youngstown,OH,41360,86850,652,58.3,39.7,43.9,5.8,25638,53789,16
98,Scranton,PA,41980,100600,745,58.7,40,42.8,5,90374,55851,11
99,Daytona Beach,FL,38710,192817,990,80.1,61.6,47.1,3.7,178429,53872,5
100,Baltimore,MD,56400,248833,1220,65,45.1,38.3,4.2,148820,86191,97
101,Killeen,TX,41770,155500,888,,,31.1,4,135104,51142,20
102,Philadelphia,PA,54940,200142,1075,64.6,47.1,38.6,4.2,178942,71872,171
103,Virginia Beach,VA,47410,220275,1124,68.2,52,35.7,3.3,287932,56881,30
104,Chicago,IL,54160,221983,1048,59,40.7,37,4.2,221752,73041,199
105,Corpus Christi,TX,44710,,940,,,35.7,5,158264,55890,1
106,Albuquerque,NM,46400,201900,850,68.7,45.4,37.7,4.6,213805,58249,9
107,Los Angeles,CA,53803,526214,1362,69,56.2,35.9,4.2,756217,73934,164
108,Beaumont,TX,47900,,797,,,36.9,6.2,109736,55174,0
109,Baton Rouge,LA,44500,179350,873,78.9,57.9,34.9,4.3,189254,58626,13
110,El Paso,TX,38610,151300,789,77.4,51.6,31.9,4.3,136997,36786,3
111,Jackson,MS,42770,,838,75.5,53.6,36,4.1,44573,56851,7
113,Miami,FL,46860,247113,1232,84.3,70,40.7,3.7,392862,64384,46
114,New Orleans,LA,43310,193575,947,78.2,61.1,37.7,4.5,225899,53047,5
115,Flint,MI,45820,121900,738,,,40.1,5.1,24470,52617,1
116,Brownsville,TX,35240,,683,,,31.4,6.2,103350,49968,1
117,Salinas,CA,48290,581342,1338,,,33.9,6.4,521572,60591,2
118,Memphis,TN,43950,151900,883,72.4,53.6,35.9,4.1,93598,43121,9
119,Fresno,CA,45510,260733,931,76.7,51.9,31.8,7.4,257940,60100,3
120,Modesto,CA,46176,289168,1011,76,51.3,32.9,7,313307,59367,4
121,Mobile,AL,43830,126976,828,,,37.3,4.7,127644,55249,1
122,Shreveport,LA,39400,,789,,,36.7,5.2,103134,55397,3
123,Stockton,CA,46770,352350,1100,74.3,48.3,33.9,5.9,320134,59113,6
124,Bakersfield,CA,47680,226908,933,76.8,53.5,31.3,8,254820,59792,2
